 Image  path ,Prediction,Crystal,Other,Precipitate:,Clear,Well,Cocktail
/home/ethan/Documents/github/models/research/marco/X000015685-jpg/X000015685201907031114-jpg/X0000156850001201907031159.jpg,Clear,0.13627253,0.038273837,0.03451049,0.79094315,1, ['1'    '18_C0001'    'HR  Slice  pH  A1'    ''    ''    ''    'Citric  acid'    '0.5  M'    '3.5'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015685-jpg/X000015685201907031114-jpg/X0000156850002201907031159.jpg,Clear,0.047896814,0.03370931,0.029700136,0.88869375,2, ['2'    '18_C0002'    'HR  Slice  pH  A2'    ''    ''    ''    'Citric  acid'    '0.5  M'    '3.8'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015685-jpg/X000015685201907031114-jpg/X0000156850003201907031159.jpg,Crystals,0.539891,0.091241196,0.05371083,0.31515703,3, ['3'    '18_C0003'    'HR  Slice  pH  A3'    ''    ''    ''    'Citric  acid'    '0.5  M'    '4.1'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015685-jpg/X000015685201907031114-jpg/X0000156850004201907031159.jpg,Clear,0.025036039,0.025860531,0.025468487,0.9236349,4, ['4'    '18_C0004'    'HR  Slice  pH  A4'    ''    ''    ''    'Citric  acid'    '0.5  M'    '4.4'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015685-jpg/X000015685201907031114-jpg/X0000156850005201907031159.jpg,Clear,0.025044508,0.02494578,0.03017861,0.91983104,5, ['5'    '18_C0005'    'HR  Slice  pH  A5'    ''    ''    ''    'Sodium  citrate  tribasic  dihydrate'    '0.5  M'    '3.6'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015685-jpg/X000015685201907031114-jpg/X0000156850006201907031159.jpg,Clear,0.02365994,0.026109727,0.026509933,0.9237204,6, ['6'    '18_C0006'    'HR  Slice  pH  A6'    ''    ''    ''    'Sodium  citrate  tribasic  dihydrate'    '0.5  M'    '3.9'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015685-jpg/X000015685201907031114-jpg/X0000156850007201907031159.jpg,Precipitate,0.0692354,0.039953943,0.84337336,0.047437344,7, ['7'    '18_C0007'    'HR  Slice  pH  A7'    ''    ''    ''    'Sodium  citrate  tribasic  dihydrate'    '0.5  M'    '4.2'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015685-jpg/X000015685201907031114-jpg/X0000156850008201907031159.jpg,Clear,0.022364154,0.024336247,0.026045168,0.9272545,8, ['8'    '18_C0008'    'HR  Slice  pH  A8'    ''    ''    ''    'Sodium  citrate  tribasic  dihydrate'    '0.5  M'    '4.5'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015685-jpg/X000015685201907031114-jpg/X0000156850009201907031159.jpg,Clear,0.029011663,0.024646528,0.02477947,0.92156243,9, ['9'    '18_C0009'    'HR  Slice  pH  A9'    ''    ''    ''    'Sodium  acetate  trihydrate'    '0.5  M'    '3.7'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015685-jpg/X000015685201907031114-jpg/X0000156850010201907031159.jpg,Clear,0.025822947,0.026969887,0.030874424,0.9163328,10, ['10'    '18_C0010'    'HR  Slice  pH  A10'    ''    ''    ''    'Sodium  acetate  trihydrate'    '0.5  M'    '4.0'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
