 Image  path ,Prediction,Crystal,Other,Precipitate:,Clear,Well,Cocktail
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860001201907041348.jpg,Precipitate,0.13931902,0.027647665,0.80058414,0.032449193,1, ['1'    '18_C0001'    'HR  Slice  pH  A1'    ''    ''    ''    'Citric  acid'    '0.5  M'    '3.5'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860002201907041348.jpg,Crystals,0.73189336,0.023815034,0.2214164,0.022875207,2, ['2'    '18_C0002'    'HR  Slice  pH  A2'    ''    ''    ''    'Citric  acid'    '0.5  M'    '3.8'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860003201907041348.jpg,Precipitate,0.021056108,0.021988837,0.9322862,0.024668824,3, ['3'    '18_C0003'    'HR  Slice  pH  A3'    ''    ''    ''    'Citric  acid'    '0.5  M'    '4.1'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860004201907041348.jpg,Precipitate,0.030409612,0.024232578,0.9171893,0.028168516,4, ['4'    '18_C0004'    'HR  Slice  pH  A4'    ''    ''    ''    'Citric  acid'    '0.5  M'    '4.4'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860005201907041348.jpg,Precipitate,0.023897573,0.024767602,0.9255641,0.025770703,5, ['5'    '18_C0005'    'HR  Slice  pH  A5'    ''    ''    ''    'Sodium  citrate  tribasic  dihydrate'    '0.5  M'    '3.6'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860006201907041348.jpg,Clear,0.043065097,0.025176464,0.041255802,0.89050263,6, ['6'    '18_C0006'    'HR  Slice  pH  A6'    ''    ''    ''    'Sodium  citrate  tribasic  dihydrate'    '0.5  M'    '3.9'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860007201907041348.jpg,Crystals,0.9073114,0.030886559,0.035812963,0.025989136,7, ['7'    '18_C0007'    'HR  Slice  pH  A7'    ''    ''    ''    'Sodium  citrate  tribasic  dihydrate'    '0.5  M'    '4.2'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860008201907041348.jpg,Clear,0.035334792,0.025167488,0.026343513,0.9131542,8, ['8'    '18_C0008'    'HR  Slice  pH  A8'    ''    ''    ''    'Sodium  citrate  tribasic  dihydrate'    '0.5  M'    '4.5'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860009201907041348.jpg,Precipitate,0.027109593,0.024363581,0.9225902,0.025936674,9, ['9'    '18_C0009'    'HR  Slice  pH  A9'    ''    ''    ''    'Sodium  acetate  trihydrate'    '0.5  M'    '3.7'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860010201907041348.jpg,Precipitate,0.046705715,0.03877345,0.89157915,0.022941614,10, ['10'    '18_C0010'    'HR  Slice  pH  A10'    ''    ''    ''    'Sodium  acetate  trihydrate'    '0.5  M'    '4.0'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860011201907041348.jpg,Clear,0.05151075,0.019888854,0.021326035,0.9072745,11, ['11'    '18_C0011'    'HR  Slice  pH  A11'    ''    ''    ''    'Sodium  acetate  trihydrate'    '0.5  M'    '4.3'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
/home/ethan/Documents/github/models/research/marco/X000015686-jpg/X000015686201907041303-jpg/X0000156860012201907041348.jpg,Crystals,0.90501565,0.037359614,0.02702505,0.030599672,12, ['12'    '18_C0012'    'HR  Slice  pH  A12'    ''    ''    ''    'Sodium  acetate  trihydrate'    '0.5  M'    '4.6'    'PEG  3350'    '15%  (w/v)'    ''    ''    ''    ''    ''    ''    ''    ''] 
